Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
124539-66236,PF/C,John,John Collins,Collins,21.311537522536057,26,4900,LAC@OKC,LAC,OKC,,,,,,PF/C
124539-188416,SF/PF,Bilal,Bilal Coulibaly,Coulibaly,23.0500005086263,12,4800,WAS@SA,WAS,SA,,,,,,SF/PF
124539-203795,C,Quinten,Quinten Post,Post,17.614815040870948,27,4800,GS@PHO,GS,PHO,,,,,,C
124539-203798,PG/SG,Jamal,Jamal Shead,Shead,19.4333337854456,27,4800,TOR@MIL,TOR,MIL,,,,,,PG/SG
124539-157824,PG/SG,Miles,Miles McBride,McBride,20.285000610351563,20,4800,NY@IND,NY,IND,O,Ankle,,,,PG/SG
124539-15946,PF/SF,Harrison,Harrison Barnes,Barnes,23.14,25,4800,WAS@SA,SA,WAS,,,,,,SF/PF
124539-228147,C,Ryan,Ryan Kalkbrenner,Kalkbrenner,24.008333841959637,24,4800,ATL@CHA,CHA,ATL,,,,,,C
124539-174501,PG,Pat,Pat Spencer,Spencer,16.56315853721217,19,4700,GS@PHO,GS,PHO,O,Personal,,,,PG
124539-110347,SF/PF,Keldon,Keldon Johnson,Johnson,24.6839990234375,25,4700,WAS@SA,SA,WAS,,,,,,SF/PF
124539-228111,PF/SF,Danny,Danny Wolf,Wolf,16.60909063165838,11,4700,MIA@BKN,BKN,MIA,,,,,,SF/PF
124539-228166,C,Maxime,Maxime Raynaud,Raynaud,17.25,18,4700,SAC@POR,SAC,POR,,,,,,C
124539-16261,SG/SF,Khris,Khris Middleton,Middleton,22.087499618530273,16,4700,WAS@SA,WAS,SA,O,Knee,,,,SG/SF
124539-203721,PG,Bub,Bub Carrington,Carrington,18.366666158040363,24,4700,WAS@SA,WAS,SA,,,,,,PG
124539-157846,C,Sandro,Sandro Mamukelashvili,Mamukelashvili,20.057692307692307,26,4600,TOR@MIL,TOR,MIL,,,,,,C
124539-171769,SF/PF,Tari,Tari Eason,Eason,22.21818126331676,11,4600,HOU@NO,HOU,NO,Q,Oblique,,,,SF/PF
124539-188415,SG/PG,Cason,Cason Wallace,Wallace,22.3360009765625,25,4600,LAC@OKC,OKC,LAC,,,,,,PG/SG
124539-23802,PG/SG,Kris,Kris Dunn,Dunn,19.68461491511418,26,4500,LAC@OKC,LAC,OKC,,,,,,PG/SG
124539-171765,C,Moussa,Moussa Diabate,Diabate,23.31199951171875,25,4500,ATL@CHA,CHA,ATL,,,,,,C
124539-228109,PG/SG,Egor,Egor Demin,Demin,19.613043743631113,23,4500,MIA@BKN,BKN,MIA,,,,,,PG/SG
124539-157802,SF/SG,Moses,Moses Moody,Moody,21.62,25,4400,GS@PHO,GS,PHO,,,,,,SG/SF
124539-20640,SG/PG,Jordan,Jordan Clarkson,Clarkson,14.93199951171875,25,4400,NY@IND,NY,IND,,,,,,PG/SG
124539-84694,SF/SG,Bruce,Bruce Brown,Brown,16.855999755859376,25,4400,ORL@DEN,DEN,ORL,,,,,,SG/SF
124539-41083,C,Luke,Luke Kornet,Kornet,22.711765064912683,17,4300,WAS@SA,SA,WAS,,,,,,C
